Journal;Author;Year;Article;Keyword;Description;Link to pdf
Proceedings of the IEEE;Zhou et al.;2019;Edge intelligence: Paving the last mile of artificial intelligence with edge computing;Edge Intelligence;;https://ieeexplore.ieee.org/iel7/5/4357935/08736011.pdf
IEEE Network;Wang et al.;2019;In-edge ai: Intelligentizing mobile edge computing, caching and communication by federated learning;Edge AI;;https://arxiv.org/pdf/1809.07857
IEEE Network;Liu et al.;2019;Intelligent edge computing for IoT-based energy management in smart cities;Intelligent Edge;;http://www.academia.edu/download/61460035/iot_for_smart_citiestechnologies_and_applications20191208-71105-c6ghmt.pdf
IEEE Communications Magazine;Zhu et al.;2020;Toward an intelligent edge: wireless communication meets machine learning;Intelligent Edge;;https://arxiv.org/pdf/1809.00343
IEEE Transactions on Wireless Communications;Li et al.;2019;Edge AI: On-demand accelerating deep neural network inference via edge computing;Edge AI;;https://arxiv.org/pdf/1910.05316
Future Generation Computer Systems;Azar et al.;2019;An energy efficient IoT data compression approach for edge machine learning;Edge Machine Learning;;https://hal.archives-ouvertes.fr/hal-02370471/file/d11d586d-965c-4b40-9986-2dba199bb679-author.pdf
IEEE Network;Zhang, Ke, et al.;2019;Edge intelligence and blockchain empowered 5G beyond for the industrial Internet of Things;Edge Intelligence;Blockchain, Security;http://folk.uio.no/yanzhang/IEEENetworkOct2019.pdf
Proceedings of the IEEE;Zhang, Y et al. ;2019;Mobile edge intelligence and computing for the internet of vehicles;Edge Intelligence;Application: Internet of Vehicles;https://arxiv.org/pdf/1906.00400
IEEE Network;Zhang, Y et al. ;2019;Edge intelligence in the cognitive Internet of Things: Improving sensitivity and interactivity;Edge Intelligence;Cognitive Computing;https://sci-hub.st/10.1109/mnet.2019.1800344
IEEE Network;Zhang, Yushu et al.;2019;Serious challenges and potential solutions for the industrial Internet of Things with edge intelligence;Edge Intelligence;Data authentication mechanisms, Privacy;https://sci-hub.st/10.1109/mnet.001.1800478
IEEE Transactions on Industrial Informatics;Muhammad, K et al.;2019;Edge intelligence-assisted smoke detection in foggy surveillance environments;Edge Intelligence;Smoke detection system, CNN;https://sci-hub.st/10.1109/tii.2019.2915592
Big data and cognitive computing;Yazici, M et al.;2018;Edge machine learning: Enabling smart internet of things applications;Edge Machine Learning;machine learning algorithms on an IoT edge device;https://sci-hub.st/10.3390/bdcc2030026
Preprint: IEEE Communications Surveys & Tutorials ;Shi, Y et al.;2020;Communication-efficient edge AI: Algorithms and systems;Edge AI;Algorithms, Systems for communication efficiency;https://sci-hub.st/10.1109/comst.2020.3007787
IEEE Network;Li, L et al.;2018;DeepNFV: A lightweight framework for intelligent edge network functions virtualization;Intelligent Edge;Virtualisation;https://sci-hub.do/10.1109/mnet.2018.1700394
BOOK: 2nd {USENIX} Workshop on Hot Topics in Edge Computing (HotEdge 19);Rausch, T et al.;2019;Towards a serverless platform for edge {AI};Edge AI;Edge AI Pipeline;https://www.usenix.org/system/files/hotedge19-paper-rausch.pdf
IEEE Internet of Things Journal;Mills, J et al.;2019;Communication-efficient federated learning for wireless edge intelligence in iot;Edge Intelligence;Federated Learning;https://ore.exeter.ac.uk/repository/bitstream/handle/10871/39842/FINAL_VERSION_IoT_Journal.pdf?sequence=1&isAllowed=n
BOOK: IEEE INFOCOM 2019-IEEE Conference on Computer Communications;Wang, F et al.;2019;Intelligent edge-assisted crowdcast with deep reinforcement learning for personalized QoE;Intelligent Edge;Crowdcast application, deep reinforcement learning;https://sci-hub.st/10.1109/infocom.2019.8737456
Ad Hoc Networks;Alonso, R et al.;2020;An intelligent Edge-IoT platform for monitoring livestock and crops in a dairy farming scenario;Intelligent Edge;Cattle monitor application, machine learning on the edge;https://sci-hub.st/10.1016/j.adhoc.2019.102047
IEEE Transactions on Network Science and Engineering;Xu, S et al.;2019;Data-driven edge intelligence for robust network anomaly detection;Edge Intelligence;;https://sci-hub.st/10.1109/tnse.2019.2936466
BOOK: 2018 IEEE 29th International Conference on Application-specific Systems, Architectures and Processors (ASAP);Plastiras, G et al.;2018;Edge intelligence: Challenges and opportunities of near-sensor machine learning applications;Edge Intelligence;;https://www.researchgate.net/profile/George_Plastiras/publication/327265258_Edge_Intelligence_Challenges_and_Opportunities_of_Near-Sensor_Machine_Learning_Applications/links/5c084eed92851c39ebd6160e/Edge-Intelligence-Challenges-and-Opportunities-of-Near-Sensor-Machine-Learning-Applications.pdf
Future Generation Computer Systems;Huang, Z et al.;2018;Building edge intelligence for online activity recognition in service-oriented IoT systems;Edge Intelligence;ACTIVITY RECOGNITION;https://sci-hub.st/10.1016/j.future.2018.03.003
IEEE Transactions on Cognitive Communications and Networking;Liu, D et al.;2020;Data-importance aware user scheduling for communication-efficient edge machine learning;Edge Machine Learning;communication efficiency, Model training, data selection and reduction;https://sci-hub.st/10.1109/tccn.2020.2999606
IEEE Transactions on Industrial Informatics;Yuan, B et al.;2019;An inductive content-augmented network embedding model for edge artificial intelligence;Edge Artificial Intelligence;Data reduction;https://sci-hub.st/10.1109/tii.2019.2902877
