Database;Author;Year;Journal;Article Title;Keyword Found;Link to pdf;Is it a revelvant academic journal paper?;Reason;Is it not a duplicate?;Reason;Is it still relevant after reading At & KW & C?;Reason;Is it still relevant after reading the whole article?;Reason;Description
Google Scholar;Zhou et al.;2019;Proceedings of the IEEE;Edge intelligence: Paving the last mile of artificial intelligence with edge computing;Edge Intelligence;https://ieeexplore.ieee.org/iel7/5/4357935/08736011.pdf;1;;1;;1;;1;;
Google Scholar;Wang et al.;2019;IEEE Network;In-edge ai: Intelligentizing mobile edge computing, caching and communication by federated learning;Edge AI;https://arxiv.org/pdf/1809.07857;1;;1;;1;;1;;
Google Scholar;Patel et al.;2017;IEEE Intelligent Systems;On using the intelligent edge for IoT analytics;Intelligent Edge;https://www.researchgate.net/profile/Amit_Sheth/publication/320479551_On_Using_the_Intelligent_Edge_for_IoT_Analytics/links/5a1ef5ce458515a4c3d36c79/On-Using-the-Intelligent-Edge-for-IoT-Analytics.pdf;1;;1;;1;;0;Device-edge-cloud synergy;
Google Scholar;Liu et al.;2019;IEEE Network;Intelligent edge computing for IoT-based energy management in smart cities;Intelligent Edge;http://www.academia.edu/download/61460035/iot_for_smart_citiestechnologies_and_applications20191208-71105-c6ghmt.pdf;1;;1;;1;;1;;
Google Scholar;Zhu et al.;2020;IEEE Communications Magazine;Toward an intelligent edge: wireless communication meets machine learning;Intelligent Edge;https://arxiv.org/pdf/1809.00343;1;;1;;1;;1;;
Google Scholar;Li et al.;2019;IEEE Transactions on Wireless Communications;Edge AI: On-demand accelerating deep neural network inference via edge computing;Edge AI;https://arxiv.org/pdf/1910.05316;1;;1;;1;;1;;
Google Scholar;Li et al.;2018;BOOK: Proceedings of the 2018 Workshop on Mobile Edge Communications;Edge intelligence: On-demand deep learning model co-inference with device-edge synergy;Edge Intelligence;https://arxiv.org/pdf/1806.07840;1;;1;;0;Early Version of 7;;;
Google Scholar;Azar et al.;2019;Future Generation Computer Systems;An energy efficient IoT data compression approach for edge machine learning;Edge Machine Learning;https://hal.archives-ouvertes.fr/hal-02370471/file/d11d586d-965c-4b40-9986-2dba199bb679-author.pdf;1;;1;;1;;1;;
Google Scholar;Zhang, Ke, et al.;2019;IEEE Network;Edge intelligence and blockchain empowered 5G beyond for the industrial Internet of Things;Edge Intelligence;http://folk.uio.no/yanzhang/IEEENetworkOct2019.pdf;1;;1;;1;;1;;Blockchain, Security
Google Scholar;Zhang, Y et al. ;2019;Proceedings of the IEEE;Mobile edge intelligence and computing for the internet of vehicles;Edge Intelligence;https://arxiv.org/pdf/1906.00400;1;;1;;1;;1;;Application: Internet of Vehicles
Google Scholar;Lin et al.;2019;IEEE Transactions on Industrial Informatics;Making knowledge tradable in edge-AI enabled IoT: A consortium blockchain-based efficient and incentive approach;Edge AI;https://sci-hub.st/10.1109/tii.2019.2917307;1;;1;;0;Explanation of Research Methods;;;
Google Scholar;Deng et al.;2020;IEEE Internet of Things Journal;Edge intelligence: the confluence of edge computing and artificial intelligence;Edge Intelligence;https://arxiv.org/pdf/1909.00560.pdf;1;;1;;1;;0;Device-edge-cloud synergy;
